//EOS file using Gadget forsterite EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_Fe_EOS.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 0 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
9.396648E+00	2.117340E+01	2.028426E+03	1.500000E+03
9.494618E+00	2.117607E+01	2.028435E+03	1.500000E+03
9.593608E+00	2.117877E+01	2.028444E+03	1.500000E+03
9.693631E+00	2.118149E+01	2.028453E+03	1.500000E+03
9.794697E+00	2.118424E+01	2.028462E+03	1.500000E+03
9.896816E+00	2.118702E+01	2.028471E+03	1.500000E+03
1.000000E+01	2.118983E+01	2.028481E+03	1.500000E+03
1.010426E+01	2.118991E+01	2.028481E+03	1.500000E+03
1.020961E+01	2.118999E+01	2.028481E+03	1.500000E+03
1.031605E+01	2.119008E+01	2.028481E+03	1.500000E+03
1.042361E+01	2.119016E+01	2.028482E+03	1.500000E+03
1.053228E+01	2.119024E+01	2.028482E+03	1.500000E+03
1.064209E+01	2.119033E+01	2.028482E+03	1.500000E+03
1.075305E+01	2.119041E+01	2.028483E+03	1.500000E+03
1.086516E+01	2.119050E+01	2.028483E+03	1.500000E+03
1.097844E+01	2.119058E+01	2.028483E+03	1.500000E+03
1.109290E+01	2.119067E+01	2.028484E+03	1.500000E+03
1.120855E+01	2.119076E+01	2.028484E+03	1.500000E+03
1.132541E+01	2.119085E+01	2.028484E+03	1.500000E+03
1.144349E+01	2.119094E+01	2.028485E+03	1.500000E+03
1.156280E+01	2.119103E+01	2.028485E+03	1.500000E+03
1.168335E+01	2.119112E+01	2.028485E+03	1.500000E+03
1.180517E+01	2.119122E+01	2.028486E+03	1.500000E+03
1.192825E+01	2.119131E+01	2.028486E+03	1.500000E+03
1.205261E+01	2.119141E+01	2.028486E+03	1.500000E+03
1.217827E+01	2.119150E+01	2.028487E+03	1.500000E+03
1.230524E+01	2.119160E+01	2.028487E+03	1.500000E+03
1.243353E+01	2.119170E+01	2.028487E+03	1.500000E+03
1.256317E+01	2.119180E+01	2.028488E+03	1.500000E+03
1.269415E+01	2.119190E+01	2.028488E+03	1.500000E+03
1.282650E+01	2.119200E+01	2.028488E+03	1.500000E+03
1.296023E+01	2.119210E+01	2.028489E+03	1.500000E+03
1.309535E+01	2.119220E+01	2.028489E+03	1.500000E+03
1.323188E+01	2.119231E+01	2.028490E+03	1.500000E+03
1.336984E+01	2.119241E+01	2.028490E+03	1.500000E+03
1.350923E+01	2.119252E+01	2.028490E+03	1.500000E+03
1.365008E+01	2.119263E+01	2.028491E+03	1.500000E+03
1.379239E+01	2.119274E+01	2.028491E+03	1.500000E+03
1.393619E+01	2.119285E+01	2.028491E+03	1.500000E+03
1.408149E+01	2.119296E+01	2.028492E+03	1.500000E+03
1.422830E+01	2.119307E+01	2.028492E+03	1.500000E+03
1.437665E+01	2.119318E+01	2.028493E+03	1.500000E+03
1.452654E+01	2.119330E+01	2.028493E+03	1.500000E+03
1.467799E+01	2.119342E+01	2.028494E+03	1.500000E+03
1.483103E+01	2.119353E+01	2.028494E+03	1.500000E+03
1.498565E+01	2.119365E+01	2.028494E+03	1.500000E+03
1.514189E+01	2.119377E+01	2.028495E+03	1.500000E+03
1.529976E+01	2.119389E+01	2.028495E+03	1.500000E+03
1.545928E+01	2.119401E+01	2.028496E+03	1.500000E+03
1.562046E+01	2.119414E+01	2.028496E+03	1.500000E+03
1.578331E+01	2.119426E+01	2.028497E+03	1.500000E+03
1.594787E+01	2.119439E+01	2.028497E+03	1.500000E+03
1.611414E+01	2.119452E+01	2.028498E+03	1.500000E+03
1.628215E+01	2.119464E+01	2.028498E+03	1.500000E+03
1.645191E+01	2.119477E+01	2.028498E+03	1.500000E+03
1.662343E+01	2.119491E+01	2.028499E+03	1.500000E+03
1.679675E+01	2.119504E+01	2.028499E+03	1.500000E+03
1.697187E+01	2.119517E+01	2.028500E+03	1.500000E+03
1.714882E+01	2.119531E+01	2.028500E+03	1.500000E+03
1.732761E+01	2.119544E+01	2.028501E+03	1.500000E+03
1.750827E+01	2.119558E+01	2.028501E+03	1.500000E+03
1.769081E+01	2.119572E+01	2.028502E+03	1.500000E+03
1.787526E+01	2.119586E+01	2.028502E+03	1.500000E+03
1.806162E+01	2.119601E+01	2.028503E+03	1.500000E+03
1.824993E+01	2.119615E+01	2.028503E+03	1.500000E+03
1.844021E+01	2.119630E+01	2.028504E+03	1.500000E+03
1.863246E+01	2.119644E+01	2.028505E+03	1.500000E+03
1.882672E+01	2.119659E+01	2.028505E+03	1.500000E+03
1.902301E+01	2.119674E+01	2.028506E+03	1.500000E+03
1.922135E+01	2.119689E+01	2.028506E+03	1.500000E+03
1.942175E+01	2.119705E+01	2.028507E+03	1.500000E+03
1.962424E+01	2.119720E+01	2.028507E+03	1.500000E+03
1.982884E+01	2.119736E+01	2.028508E+03	1.500000E+03
2.003557E+01	2.119752E+01	2.028508E+03	1.500000E+03
2.024447E+01	2.119768E+01	2.028509E+03	1.500000E+03
2.045553E+01	2.119784E+01	2.028510E+03	1.500000E+03
2.066880E+01	2.119800E+01	2.028510E+03	1.500000E+03
2.088430E+01	2.119817E+01	2.028511E+03	1.500000E+03
2.110203E+01	2.119833E+01	2.028511E+03	1.500000E+03
2.132204E+01	2.119850E+01	2.028512E+03	1.500000E+03
2.154435E+01	2.119867E+01	2.028513E+03	1.500000E+03
2.176897E+01	2.119885E+01	2.028513E+03	1.500000E+03
2.199593E+01	2.119902E+01	2.028514E+03	1.500000E+03
2.222526E+01	2.119919E+01	2.028514E+03	1.500000E+03
2.245698E+01	2.119937E+01	2.028515E+03	1.500000E+03
2.269112E+01	2.119955E+01	2.028516E+03	1.500000E+03
2.292769E+01	2.119973E+01	2.028516E+03	1.500000E+03
2.316674E+01	2.119992E+01	2.028517E+03	1.500000E+03
2.340827E+01	2.120010E+01	2.028518E+03	1.500000E+03
2.365233E+01	2.120029E+01	2.028518E+03	1.500000E+03
2.389893E+01	2.120048E+01	2.028519E+03	1.500000E+03
2.414810E+01	2.120067E+01	2.028520E+03	1.500000E+03
2.439986E+01	2.120086E+01	2.028520E+03	1.500000E+03
