//EOS file using Gadget EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_EOS_forsterite.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 1 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
2.316674E-06	1.480042E-02	1.736246E+03	3.200000E+03
2.389893E-06	1.518050E-02	1.737610E+03	3.200000E+03
2.465426E-06	1.557035E-02	1.738975E+03	3.200000E+03
2.543346E-06	1.597012E-02	1.740291E+03	3.200000E+03
2.623729E-06	1.638005E-02	1.741531E+03	3.200000E+03
2.706652E-06	1.680050E-02	1.742773E+03	3.200000E+03
2.792196E-06	1.723174E-02	1.744015E+03	3.200000E+03
2.880444E-06	1.767406E-02	1.745258E+03	3.200000E+03
2.971481E-06	1.812772E-02	1.746502E+03	3.200000E+03
3.065395E-06	1.859303E-02	1.747747E+03	3.200000E+03
3.162278E-06	1.907028E-02	1.748993E+03	3.200000E+03
3.262222E-06	1.955979E-02	1.750240E+03	3.200000E+03
3.365325E-06	2.006186E-02	1.751487E+03	3.200000E+03
3.471687E-06	2.057681E-02	1.752736E+03	3.200000E+03
3.581410E-06	2.110499E-02	1.753985E+03	3.200000E+03
3.694601E-06	2.164672E-02	1.755235E+03	3.200000E+03
3.811370E-06	2.220236E-02	1.756487E+03	3.200000E+03
3.931829E-06	2.277225E-02	1.757739E+03	3.200000E+03
4.056095E-06	2.333550E-02	1.759072E+03	3.200000E+03
4.184289E-06	2.389816E-02	1.760460E+03	3.200000E+03
4.316534E-06	2.447438E-02	1.761849E+03	3.200000E+03
4.452959E-06	2.506450E-02	1.763239E+03	3.200000E+03
4.593695E-06	2.566884E-02	1.764630E+03	3.200000E+03
4.738880E-06	2.628776E-02	1.766022E+03	3.200000E+03
4.888653E-06	2.692159E-02	1.767415E+03	3.200000E+03
5.043159E-06	2.757072E-02	1.768810E+03	3.200000E+03
5.202549E-06	2.823549E-02	1.770205E+03	3.200000E+03
5.366977E-06	2.891629E-02	1.771602E+03	3.200000E+03
5.536601E-06	2.961351E-02	1.773000E+03	3.200000E+03
5.711586E-06	3.032753E-02	1.774399E+03	3.200000E+03
5.892102E-06	3.105878E-02	1.775799E+03	3.200000E+03
6.078323E-06	3.180765E-02	1.777200E+03	3.200000E+03
6.270430E-06	3.257459E-02	1.778602E+03	3.200000E+03
6.468608E-06	3.333281E-02	1.779931E+03	3.200000E+03
6.673049E-06	3.410172E-02	1.781243E+03	3.200000E+03
6.883952E-06	3.488837E-02	1.782556E+03	3.200000E+03
7.101521E-06	3.569317E-02	1.783869E+03	3.200000E+03
7.325965E-06	3.651653E-02	1.785184E+03	3.200000E+03
